battle_url,location
https://en.wikipedia.org/wiki/Siege_of_Naqada,"Naqada, Upper Egypt"
https://en.wikipedia.org/wiki/Battle_of_Banquan,"Banquan, China (disputed)"
https://en.wikipedia.org/wiki/Battle_of_Zhuolu,"Zhuolu, Hebei"
https://en.wikipedia.org/wiki/Battle_of_Mingtiao,Mingtiao
https://en.wikipedia.org/wiki/Battle_of_Megiddo_(15th_century_BC),"Megiddo, Canaan32°35′07″N 35°11′04″E﻿ / ﻿32.58528°N 35.18444°E﻿ / 32.58528; 35.18444"
https://en.wikipedia.org/wiki/Battle_of_the_Ten_Kings,"Near Parusni river (modern Ravi), Punjab"
https://en.wikipedia.org/wiki/Battle_of_Ganuvara,Ganuvara
https://en.wikipedia.org/wiki/Battle_of_K%C4%81r_I%C5%A1tar,Kār Ištar
https://en.wikipedia.org/wiki/Battles_of_Alashiya,Off the coast of Alashiya (Cyprus)
https://en.wikipedia.org/wiki/Battle_of_Kadesh,"Orontes River, near Kadesh (modern-day Lebanon–Syria border)"
https://en.wikipedia.org/wiki/Siege_of_Dapur,"Dapur, Hittite Empire (Syria region)34°33′28.12″N 36°31′10.56″E﻿ / ﻿34.5578111°N 36.5196000°E﻿ / 34.5578111; 36.5196000"
https://en.wikipedia.org/wiki/Tollense_valley_battlefield,"Tollense Valley, present-day Germany53°45′45″N 13°18′29″E﻿ / ﻿53.7625°N 13.3080°E﻿ / 53.7625; 13.3080"
https://en.wikipedia.org/wiki/Battle_of_Nihriya,Niḫriya
https://en.wikipedia.org/wiki/Battle_of_Perire,"Perire, possibly in the western Nile Delta"
https://en.wikipedia.org/wiki/Battle_of_Djahy,Djahy
https://en.wikipedia.org/wiki/Battle_of_the_Delta,Eastern Nile Delta
https://en.wikipedia.org/wiki/Battle_of_Mount_Tabor_(biblical),"Mount Tabor, Israel"
https://en.wikipedia.org/wiki/Battle_of_Muye,Muye (in present-day central Henan)
https://en.wikipedia.org/wiki/Battle_of_Michmash,"Michmash, United Kingdom of Israel"
https://en.wikipedia.org/wiki/Siege_of_Jebus,"Jerusalem, Canaan31°47′N 35°13′E﻿ / ﻿31.783°N 35.217°E﻿ / 31.783; 35.217"
https://en.wikipedia.org/wiki/Battle_of_Bitter_Lakes,Bitter Lakes
https://en.wikipedia.org/wiki/Battle_of_Mount_Zemaraim,"Mount Zemaraim at the mountains of Ephraim, north of Jerusalem, Kingdom of Judah"
https://en.wikipedia.org/wiki/Battle_of_Suru,Suru
https://en.wikipedia.org/wiki/Battle_of_Karkar,Qarqur
https://en.wikipedia.org/wiki/Battle_of_Dur-Papsukkal,Dur-Papsukkal
https://en.wikipedia.org/wiki/Battle_of_the_Lacus_Curtius,"Near the Lacus Curtius of the Roman Forum, Rome"
https://en.wikipedia.org/wiki/Siege_of_Gezer_(c.733_BC),Israel
https://en.wikipedia.org/wiki/Battle_of_Xuge,"Xuge (modern day Changge, Henan Province)"
https://en.wikipedia.org/wiki/Siege_of_Azekah,"Azekah, Israel"
https://en.wikipedia.org/wiki/Siege_of_Lachish,"Lachish, Kingdom of Judah"
https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(701_BC),"Jerusalem, Kingdom of Judah"
https://en.wikipedia.org/wiki/Battle_of_Diyala_River,Nippur and Diyala River
https://en.wikipedia.org/wiki/Battle_of_Halule,Halule
https://en.wikipedia.org/wiki/Siege_of_Babylon,Babylon
https://en.wikipedia.org/wiki/Battle_of_Deres,Messenia
https://en.wikipedia.org/wiki/Battle_of_Changshao,"Changshao, near today's Laiwu, Shandong province of China"
https://en.wikipedia.org/wiki/Battle_of_the_Great_Foss,Peloponnesus
https://en.wikipedia.org/wiki/Battle_of_Hysiae_(669_BC),"Hysiae, Argolis"
https://en.wikipedia.org/wiki/Sack_of_Thebes,"Thebes, Egypt"
https://en.wikipedia.org/wiki/Battle_of_Ulai,Karkheh River
https://en.wikipedia.org/wiki/Battle_of_Susa,"Mesopotamia, Elam"
https://en.wikipedia.org/wiki/Battle_of_Loulin,"Loulin (present-day Fengyang County, Anhui)[1]32°52′00″N 117°34′00″E﻿ / ﻿32.866667°N 117.566667°E﻿ / 32.866667; 117.566667"
https://en.wikipedia.org/wiki/Fall_of_Ashdod,"Ashdod, Neo-Assyrian Empire (Southern Levant"
https://en.wikipedia.org/wiki/Battle_of_Chengpu,"vicinity of Chenliu, Henan or the southwest of Juancheng County, Shandong"
https://en.wikipedia.org/wiki/Battle_of_Xiao,Mountain Xiao (in western Henan)
https://en.wikipedia.org/wiki/Revolt_of_Babylon_(626_BC),Babylon and surrounding lands
https://en.wikipedia.org/wiki/Fall_of_Tarbisu,Tarbiṣu
https://en.wikipedia.org/wiki/Fall_of_Assur,The Lydian Kingdom was destroyed by the Medes
https://en.wikipedia.org/wiki/Battle_of_Nineveh_(612_BC),Nineveh36°21′34″N 43°09′10″E﻿ / ﻿36.35944°N 43.15278°E﻿ / 36.35944; 43.15278
https://en.wikipedia.org/wiki/Battle_of_Megiddo_(609_BC),"Megiddo, Judah (now Israel)32°35′N 35°11′E﻿ / ﻿32.583°N 35.183°E﻿ / 32.583; 35.183"
https://en.wikipedia.org/wiki/Fall_of_Harran,"Harran, Şanlıurfa, Turkey"
https://en.wikipedia.org/wiki/Siege_of_Harran,"Harran (modern-day Şanlıurfa, Turkey)"
https://en.wikipedia.org/wiki/Battle_of_Carchemish,Carchemish
https://en.wikipedia.org/wiki/Battle_of_Hamath,Hama
https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(597_BC),Jerusalem31°46′39″N 35°13′48″E﻿ / ﻿31.77750°N 35.23000°E﻿ / 31.77750; 35.23000
https://en.wikipedia.org/wiki/Battle_of_Bi,"Bi, near modern day Xingyang, Henan Province"
https://en.wikipedia.org/wiki/Battle_of_An,"Hua Hill, Jinan36°43′42.96″N 117°3′49.86″E﻿ / ﻿36.7286000°N 117.0638500°E﻿ / 36.7286000; 117.0638500"
https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(587_BC),"Jerusalem, Judah"
https://en.wikipedia.org/wiki/Siege_of_Tyre_(586%E2%80%93573_BC),"Tyre, Phoenicia (now Lebanon)33°16′15″N 35°11′46″E﻿ / ﻿33.27083°N 35.19611°E﻿ / 33.27083; 35.19611"
https://en.wikipedia.org/wiki/Battle_of_Halys_(585_BC),"Halys River (modern Kızılırmak River, Turkey) (supposedly)"
https://en.wikipedia.org/wiki/Siege_of_Kirrha,Mainland Greece
https://en.wikipedia.org/wiki/Battle_of_Yanling,"Yanling, Henan"
https://en.wikipedia.org/wiki/Battle_of_Hyrba,"Hyrba, Media"
https://en.wikipedia.org/wiki/Battle_of_the_Persian_Border,"On the road between Ecbatana and Pasargadae, on the Persian side of the border between Media and Persis"
https://en.wikipedia.org/wiki/Medo-Persian_conflict,"Persis, Media"
https://en.wikipedia.org/wiki/Battle_of_Pteria,"Pteria, Cappadocia(modern-day Kerkenes, Yozgat, Turkey)39°55′00″N 35°20′00″E﻿ / ﻿39.9167°N 35.3333°E﻿ / 39.9167; 35.3333"
https://en.wikipedia.org/wiki/Battle_of_Thymbra,"Thymbra, Lydia(modern-day Manisa, Turkey)38°40′00″N 27°50′00″E﻿ / ﻿38.66667°N 27.83333°E﻿ / 38.66667; 27.83333"
https://en.wikipedia.org/wiki/Siege_of_Sardis_(547_BC),"Sardis, Lydia(modern-day Sart, Manisa, Turkey)38°29′00″N 28°02′00″E﻿ / ﻿38.48333°N 28.03333°E﻿ / 38.48333; 28.03333"
https://en.wikipedia.org/wiki/Battle_of_The_300_Champions,"Thyrea, Greece"
https://en.wikipedia.org/wiki/Battle_of_Alalia,Off the coast of Corsica
https://en.wikipedia.org/wiki/Battle_of_Opis,"Opis, Babylonia, Mesopotamia (modern-day Iraq33°10′53″N 44°42′00″E﻿ / ﻿33.18139°N 44.70000°E﻿ / 33.18139; 44.70000"
https://en.wikipedia.org/wiki/Battle_of_Pelusium,"Pelusium, Egypt31°02′30″N 32°32′42″E﻿ / ﻿31.041667°N 32.545°E﻿ / 31.041667; 32.545"
https://en.wikipedia.org/wiki/Battle_of_Silva_Arsia,"maybe near the Silva Arsia, which was maybe a forest nearby Rome?"
https://en.wikipedia.org/wiki/Siege_of_Rome_(508_BC),"Fidenae & Veii, modern-day Italy"
https://en.wikipedia.org/wiki/Battle_of_Boju,"Boju, State of Chu (present-day Macheng, Hubei Province)"
https://en.wikipedia.org/wiki/Battle_of_Pometia,"Pometia, Italy"
https://en.wikipedia.org/wiki/Siege_of_Naxos_(499_BC),"Naxos, Cyclades"
https://en.wikipedia.org/wiki/Ionian_Revolt,Asia Minor (modern-day Turkey) and Cyprus
https://en.wikipedia.org/wiki/Battle_of_Ephesus_(498_BC),"Ephesus(modern-day Selçuk, İzmir, Turkey)"
https://en.wikipedia.org/wiki/Battle_of_Lake_Regillus,near Frascati (Rome)
https://en.wikipedia.org/wiki/Battle_of_Lade,"Near the island of Lade, off the coast of Miletus(modern-day Turkey)37°31′48.839″N 27°16′42.128″E﻿ / ﻿37.53023306°N 27.27836889°E﻿ / 37.53023306; 27.27836889"
https://en.wikipedia.org/wiki/Battle_of_Sepeia,"Sepeia, Tiryns"
https://en.wikipedia.org/wiki/First_Persian_invasion_of_Greece,"Thrace, Macedon, Cyclades, Euboea, Attica"
https://en.wikipedia.org/wiki/Siege_of_Eretria,"Eretria, Euboea38°23′34″N 23°47′39″E﻿ / ﻿38.392801°N 23.794298°E﻿ / 38.392801; 23.794298"
https://en.wikipedia.org/wiki/Battle_of_Marathon,"Marathon, Greece38°07′05″N 23°58′42″E﻿ / ﻿38.11806°N 23.97833°E﻿ / 38.11806; 23.97833"
https://en.wikipedia.org/wiki/Battle_of_Thermopylae,"Thermopylae, Greece38°47′45″N 22°32′13″E﻿ / ﻿38.79583°N 22.53694°E﻿ / 38.79583; 22.53694"
https://en.wikipedia.org/wiki/Battle_of_Artemisium,"Artemisium, Euboea39°3′0″N 23°12′0″E﻿ / ﻿39.05000°N 23.20000°E﻿ / 39.05000; 23.20000"
https://en.wikipedia.org/wiki/Battle_of_Salamis,Straits of Salamis37°57′5″N 23°34′0″E﻿ / ﻿37.95139°N 23.56667°E﻿ / 37.95139; 23.56667
https://en.wikipedia.org/wiki/Battle_of_Himera_(480_BC),"Himera, Sicily37°58′26.39″N 13°49′26.35″E﻿ / ﻿37.9739972°N 13.8239861°E﻿ / 37.9739972; 13.8239861"
https://en.wikipedia.org/wiki/Battle_of_Plataea,"Plataea, Greece"
https://en.wikipedia.org/wiki/Battle_of_Mycale,"Mycale, Ionia(modern-day Aydın, Turkey)37°38′10″N 27°06′28″E﻿ / ﻿37.635985°N 27.107677°E﻿ / 37.635985; 27.107677"
https://en.wikipedia.org/wiki/Siege_of_Sestos,"Southeast Europe (Greece, Thrace, Aegean Islands, and Cyprus), West Asia (Anatolia), and Northeast Africa (Egypt)"
https://en.wikipedia.org/wiki/Siege_of_Byzantium_(478_BC),"Southeast Europe (Greece, Thrace, Aegean Islands, and Cyprus), West Asia (Anatolia), and Northeast Africa (Egypt)"
https://en.wikipedia.org/wiki/Battle_of_Lize,Lize (笠泽)
https://en.wikipedia.org/wiki/Battle_of_the_Cremera,"Cremera, Italy42°1′43.741″N 12°25′28.200″E﻿ / ﻿42.02881694°N 12.42450000°E﻿ / 42.02881694; 12.42450000"
https://en.wikipedia.org/wiki/Wars_of_the_Delian_League,"Mainland Greece, Thrace, Asia Minor, Cyprus, and Egypt"
https://en.wikipedia.org/wiki/Battle_of_Cumae,Within the countryside surrounding Cumae (land battle)In the Bay of Naples (naval battle)
